date,open,high,low,close,volume
2023-01-01,48173964.81134616,49602095.89051021,48172522.82429679,48173964.81134616,520.7360854857146
2023-01-02,48173964.81134616,48173964.81134616,46879742.71501461,47039776.728541695,452.8540201738989
2023-01-03,47039776.728541695,48421963.13681881,46960850.1463509,47277647.85080057,316.834404772881
2023-01-04,47277647.85080057,47301634.505301364,46920279.45108764,47096817.85210268,776.6026383077034
2023-01-05,47096817.85210268,47462845.312011875,46841794.714423224,47198734.27563926,382.46209490048193
2023-01-06,47198734.27563926,47198734.27563926,46335273.93921598,46511479.23806849,345.52389713125217
2023-01-07,46511479.23806849,48186409.12661175,46511479.23806849,47445799.9491603,217.80129776544555
2023-01-08,47445799.9491603,48446088.19939521,47445799.9491603,48302473.660441846,494.9395316217538
2023-01-09,48302473.660441846,48535252.42619584,48244222.56731646,48487018.76518757,372.6681659535718
2023-01-10,48487018.76518757,49744160.82469112,48487018.76518757,49701367.62320357,432.3455572068717
2023-01-11,49701367.62320357,50688037.188432515,49701367.62320357,50290338.1159926,312.3975363584974
2023-01-12,50290338.1159926,50290338.1159926,49045835.72129414,49551781.791304134,786.8399408379104
2023-01-13,49551781.791304134,50375544.14745779,49551781.791304134,50041106.41354695,937.0030126192456
2023-01-14,50041106.41354695,50041106.41354695,49071785.90048608,49206538.254257165,548.1386675099989
2023-01-15,49206538.254257165,50644714.61279774,49206538.254257165,50194064.56700761,678.6985810067494
2023-01-16,50194064.56700761,51088287.35972152,49957909.39443551,50269430.040432915,880.4550489460354
2023-01-17,50269430.040432915,50696349.85268962,50038596.24936277,50209245.10250704,998.9466736002927
2023-01-18,50209245.10250704,50209245.10250704,49494068.153774805,49650989.047412984,652.164836256849
2023-01-19,49650989.047412984,51670228.9873517,49650989.047412984,50989124.2523618,900.8015198858818
2023-01-20,50989124.2523618,51056517.6062251,50645034.47295484,50959010.60375551,917.7474219000778
2023-01-21,50959010.60375551,51360898.52800854,49582189.37008821,50649864.889635034,812.3063390268601
2023-01-22,50649864.889635034,50649864.889635034,50236030.25457925,50419779.21675239,514.8382519657991
2023-01-23,50419779.21675239,51825882.10890591,49968898.7602351,51082606.89700725,173.03860038150938
2023-01-24,51082606.89700725,51651495.333905496,51082606.89700725,51583670.123904854,114.22499989612047
2023-01-25,51583670.123904854,52273071.02298877,51583670.123904854,52138434.55693352,529.4805699546321
2023-01-26,52138434.55693352,53542915.77052851,52138434.55693352,52718027.29674744,544.883080181156
2023-01-27,52718027.29674744,55307255.179380335,52718027.29674744,55107891.09864336,466.62614907667506
2023-01-28,55107891.09864336,55313440.85714873,54686611.2190654,54797727.33711443,611.3506161622281
2023-01-29,54797727.33711443,54797727.33711443,54101263.94316469,54373326.90749558,596.9464329739844
2023-01-30,54373326.90749558,54373326.90749558,53364145.316021726,53624309.613135785,852.9517369294236
2023-01-31,53624309.613135785,55271070.23915446,53624309.613135785,54418999.8125988,197.79139293603617
2023-02-01,54418999.8125988,56139403.653589614,54418999.8125988,55783798.17185044,302.6598994949909
2023-02-02,55783798.17185044,56096742.76829944,55245903.333907254,55796129.22767977,813.7044810636673
2023-02-03,55796129.22767977,55796129.22767977,54691306.48844361,54998069.9635475,863.0531805012891
2023-02-04,54998069.9635475,55527043.08963622,53791758.83535729,54228667.62677201,995.3417922587811
2023-02-05,54228667.62677201,55503015.52788361,54228667.62677201,55069854.896865346,885.6208147483758
